,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,118,70,94,102,41,91,73,36,13,101,107,48,100,304,147,69,102
-1,87,74,127,115,48,56,74,78,12,27,106,56,434,272,200,171,62
