,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,114,94,89,102,41,99,81,39,14,108,102,44,101,281,200,69,80
-1,133,81,111,110,53,54,82,52,14,39,75,50,356,276,174,184,65
