,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,82,75,82,99,39,98,60,47,11,83,106,35,91,289,135,73,71
-1,90,73,96,110,33,60,61,42,13,30,111,46,524,189,145,132,60
