,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,94,72,96,102,43,93,69,34,14,72,107,48,100,295,151,71,85
-1,97,81,112,110,58,43,76,43,14,30,86,53,354,275,197,202,67
