,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,98,89,98,101,42,86,68,33,14,78,91,44,103,265,149,53,83
-1,105,89,94,115,43,48,91,61,14,31,108,70,386,230,208,189,63
