,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,101,66,93,101,51,90,70,32,12,65,99,50,107,269,204,69,94
-1,91,79,114,115,41,48,87,56,24,35,102,59,398,219,181,206,69
