,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,102,71,89,101,39,89,70,33,14,70,110,47,103,269,205,74,79
-1,92,81,116,115,46,48,82,56,18,36,106,58,371,222,173,207,69
