,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,100,72,111,96,34,90,74,30,11,39,98,48,88,197,127,79,82
-1,91,70,99,112,44,48,57,46,13,25,100,48,272,188,116,145,58
